#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	LGALS3	9606.ENSP00000478255	9606.ENSP00000254301	0	0	0	0	0	0.407	0	0.187	0.498
ABCB1	ACTB	9606.ENSP00000478255	9606.ENSP00000494750	0	0	0	0	0.067	0.051	0	0.588	0.603
ACTB	LGALS3	9606.ENSP00000494750	9606.ENSP00000254301	0	0	0	0	0.059	0	0	0.496	0.506
ACTB	CREBBP	9606.ENSP00000494750	9606.ENSP00000262367	0	0	0	0	0.047	0.077	0	0.535	0.556
ACTB	ACTC1	9606.ENSP00000494750	9606.ENSP00000290378	0	0	0.047	0.986	0.663	0.598	0	0.418	0.914
ACTB	GRIN2C	9606.ENSP00000494750	9606.ENSP00000293190	0	0	0	0	0	0.052	0	0.500	0.506
ACTB	BCL6B	9606.ENSP00000494750	9606.ENSP00000293805	0	0	0	0	0	0.073	0	0.484	0.501
ACTB	NOD2	9606.ENSP00000494750	9606.ENSP00000300589	0	0	0	0	0.055	0.114	0	0.378	0.433
ACTB	CHAT	9606.ENSP00000494750	9606.ENSP00000337103	0	0	0	0	0	0	0	0.430	0.430
ACTB	NLRP3	9606.ENSP00000494750	9606.ENSP00000337383	0	0	0	0	0	0.095	0	0.586	0.610
ACTB	VCP	9606.ENSP00000494750	9606.ENSP00000351777	0	0	0	0	0.087	0.253	0	0.633	0.728
ACTB	ATG5	9606.ENSP00000494750	9606.ENSP00000358072	0	0	0	0	0.047	0.091	0	0.726	0.742
ACTB	BTRC	9606.ENSP00000494750	9606.ENSP00000359206	0	0	0	0	0	0.091	0	0.379	0.411
ACTB	GSN	9606.ENSP00000494750	9606.ENSP00000362924	0	0	0	0	0.063	0.650	0	0.658	0.878
ACTB	ATG16L1	9606.ENSP00000494750	9606.ENSP00000375873	0	0	0	0	0	0.084	0	0.396	0.423
ACTB	RELA	9606.ENSP00000494750	9606.ENSP00000384273	0	0	0	0	0.072	0.103	0	0.607	0.644
ACTB	IL10	9606.ENSP00000494750	9606.ENSP00000412237	0	0	0	0	0	0	0	0.729	0.729
ACTB	ATG12	9606.ENSP00000494750	9606.ENSP00000425107	0	0	0	0	0	0.068	0	0.551	0.564
ACTB	CFL1	9606.ENSP00000494750	9606.ENSP00000432660	0	0	0	0	0.403	0.987	0.900	0.834	0.999
ACTB	IL22	9606.ENSP00000494750	9606.ENSP00000442424	0	0	0	0	0	0	0	0.447	0.447
ACTB	VIM	9606.ENSP00000494750	9606.ENSP00000446007	0	0	0	0	0.156	0.243	0	0.601	0.723
ACTB	CTLA4	9606.ENSP00000494750	9606.ENSP00000497102	0	0	0	0	0	0	0	0.412	0.412
ACTC1	IL23R	9606.ENSP00000290378	9606.ENSP00000321345	0	0	0	0	0	0.431	0	0	0.431
ACTC1	ERBIN	9606.ENSP00000290378	9606.ENSP00000426632	0	0	0	0	0.049	0.095	0.400	0.051	0.444
ACTC1	GSN	9606.ENSP00000290378	9606.ENSP00000362924	0	0	0	0	0.064	0.443	0	0.264	0.583
ACTC1	CFL1	9606.ENSP00000290378	9606.ENSP00000432660	0	0	0	0	0.095	0.679	0	0.248	0.763
ARSB	SIAE	9606.ENSP00000264914	9606.ENSP00000263593	0	0	0	0	0.042	0.483	0	0.273	0.608
ATG12	RB1CC1	9606.ENSP00000425107	9606.ENSP00000025008	0	0	0	0	0.070	0.484	0	0.979	0.989
ATG12	RIPK2	9606.ENSP00000425107	9606.ENSP00000220751	0	0	0	0	0.056	0	0	0.442	0.450
ATG12	RAB33A	9606.ENSP00000425107	9606.ENSP00000257017	0	0	0	0	0	0.593	0	0.225	0.671
ATG12	NOD2	9606.ENSP00000425107	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.558	0.953
ATG12	RAB33B	9606.ENSP00000425107	9606.ENSP00000306496	0	0	0	0	0.087	0.614	0	0.713	0.890
ATG12	ATG5	9606.ENSP00000425107	9606.ENSP00000358072	0	0	0	0	0.118	0.997	0.900	0.999	0.999
ATG12	OPTN	9606.ENSP00000425107	9606.ENSP00000368022	0	0	0	0	0.094	0	0	0.572	0.595
ATG12	ATG16L1	9606.ENSP00000425107	9606.ENSP00000375873	0	0	0	0	0.042	0.994	0.900	0.999	0.999
ATG12	IRGM	9606.ENSP00000425107	9606.ENSP00000428220	0	0	0	0	0	0.058	0	0.577	0.585
ATG16L1	RB1CC1	9606.ENSP00000375873	9606.ENSP00000025008	0	0	0	0	0.064	0.825	0.900	0.988	0.999
ATG16L1	RIPK2	9606.ENSP00000375873	9606.ENSP00000220751	0	0	0	0	0.053	0.292	0	0.727	0.800
ATG16L1	IL10RA	9606.ENSP00000375873	9606.ENSP00000227752	0	0	0	0	0	0	0	0.507	0.507
ATG16L1	RAB33A	9606.ENSP00000375873	9606.ENSP00000257017	0	0	0	0	0	0.727	0	0.685	0.910
ATG16L1	NOD2	9606.ENSP00000375873	9606.ENSP00000300589	0	0	0	0	0.044	0.625	0.900	0.999	0.999
ATG16L1	RAB33B	9606.ENSP00000375873	9606.ENSP00000306496	0	0	0	0	0	0.983	0.900	0.991	0.999
ATG16L1	IL23R	9606.ENSP00000375873	9606.ENSP00000321345	0	0	0	0	0	0	0	0.669	0.669
ATG16L1	ATP6V0C	9606.ENSP00000375873	9606.ENSP00000329757	0	0	0	0	0	0	0	0.549	0.549
ATG16L1	NLRP3	9606.ENSP00000375873	9606.ENSP00000337383	0	0	0	0	0.044	0.045	0	0.671	0.673
ATG16L1	ATG5	9606.ENSP00000375873	9606.ENSP00000358072	0	0	0	0	0.122	0.999	0.900	0.999	0.999
ATG16L1	OPTN	9606.ENSP00000375873	9606.ENSP00000368022	0	0	0	0	0	0.292	0	0.582	0.691
ATG16L1	IL10	9606.ENSP00000375873	9606.ENSP00000412237	0	0	0	0	0	0	0	0.445	0.445
ATG16L1	IRF5	9606.ENSP00000375873	9606.ENSP00000418037	0	0	0	0	0	0	0	0.449	0.449
ATG16L1	IRGM	9606.ENSP00000375873	9606.ENSP00000428220	0	0	0	0	0	0.292	0	0.960	0.970
ATG5	RB1CC1	9606.ENSP00000358072	9606.ENSP00000025008	0	0	0	0	0.104	0.619	0	0.920	0.970
