#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	LGALS3	9606.ENSP00000478255	9606.ENSP00000254301	0	0	0	0	0	0.407	0	0.187	0.498
ABCB1	STAT3	9606.ENSP00000478255	9606.ENSP00000264657	0	0	0	0	0	0	0	0.800	0.800
ABCB1	IL6	9606.ENSP00000478255	9606.ENSP00000385675	0	0	0	0	0.055	0	0	0.435	0.443
ABCB1	ACTB	9606.ENSP00000478255	9606.ENSP00000494750	0	0	0	0	0.067	0.051	0	0.588	0.603
ACTB	IFNG	9606.ENSP00000494750	9606.ENSP00000229135	0	0	0	0	0	0.143	0	0.771	0.795
ACTB	IL4	9606.ENSP00000494750	9606.ENSP00000231449	0	0	0	0	0.057	0.053	0	0.692	0.700
ACTB	LGALS3	9606.ENSP00000494750	9606.ENSP00000254301	0	0	0	0	0.059	0	0	0.496	0.506
ACTB	CREBBP	9606.ENSP00000494750	9606.ENSP00000262367	0	0	0	0	0.047	0.077	0	0.535	0.556
ACTB	STAT3	9606.ENSP00000494750	9606.ENSP00000264657	0	0	0	0	0.084	0	0	0.789	0.798
ACTB	IFNAR1	9606.ENSP00000494750	9606.ENSP00000270139	0	0	0	0	0	0	0	0.470	0.470
ACTB	IFNA1	9606.ENSP00000494750	9606.ENSP00000276927	0	0	0	0	0	0	0	0.604	0.604
ACTB	IL18	9606.ENSP00000494750	9606.ENSP00000280357	0	0	0	0	0	0	0	0.593	0.593
ACTB	ACTC1	9606.ENSP00000494750	9606.ENSP00000290378	0	0	0.047	0.986	0.663	0.598	0	0.418	0.914
ACTB	GRIN2C	9606.ENSP00000494750	9606.ENSP00000293190	0	0	0	0	0	0.052	0	0.500	0.506
ACTB	BCL6B	9606.ENSP00000494750	9606.ENSP00000293805	0	0	0	0	0	0.073	0	0.484	0.501
ACTB	CSF2	9606.ENSP00000494750	9606.ENSP00000296871	0	0	0	0	0	0	0	0.695	0.695
ACTB	NOD2	9606.ENSP00000494750	9606.ENSP00000300589	0	0	0	0	0.055	0.114	0	0.378	0.433
ACTB	IL13	9606.ENSP00000494750	9606.ENSP00000304915	0	0	0	0	0	0	0	0.578	0.578
ACTB	CHAT	9606.ENSP00000494750	9606.ENSP00000337103	0	0	0	0	0	0	0	0.430	0.430
ACTB	NLRP3	9606.ENSP00000494750	9606.ENSP00000337383	0	0	0	0	0	0.095	0	0.586	0.610
ACTB	VCP	9606.ENSP00000494750	9606.ENSP00000351777	0	0	0	0	0.087	0.253	0	0.633	0.728
ACTB	STAT1	9606.ENSP00000494750	9606.ENSP00000354394	0	0	0	0	0.064	0	0	0.676	0.684
ACTB	IL6R	9606.ENSP00000494750	9606.ENSP00000357470	0	0	0	0	0	0	0	0.418	0.418
ACTB	ATG5	9606.ENSP00000494750	9606.ENSP00000358072	0	0	0	0	0.047	0.091	0	0.726	0.742
ACTB	BTRC	9606.ENSP00000494750	9606.ENSP00000359206	0	0	0	0	0	0.091	0	0.379	0.411
ACTB	GSN	9606.ENSP00000494750	9606.ENSP00000362924	0	0	0	0	0.063	0.650	0	0.658	0.878
ACTB	IFNA2	9606.ENSP00000494750	9606.ENSP00000369554	0	0	0	0	0	0	0	0.400	0.400
ACTB	IFNB1	9606.ENSP00000494750	9606.ENSP00000369581	0	0	0	0	0	0	0	0.664	0.664
ACTB	ATG16L1	9606.ENSP00000494750	9606.ENSP00000375873	0	0	0	0	0	0.084	0	0.396	0.423
ACTB	RELA	9606.ENSP00000494750	9606.ENSP00000384273	0	0	0	0	0.072	0.103	0	0.607	0.644
ACTB	IL6	9606.ENSP00000494750	9606.ENSP00000385675	0	0	0	0	0	0	0	0.847	0.847
ACTB	IL10	9606.ENSP00000494750	9606.ENSP00000412237	0	0	0	0	0	0	0	0.729	0.729
ACTB	ATG12	9606.ENSP00000494750	9606.ENSP00000425107	0	0	0	0	0	0.068	0	0.551	0.564
ACTB	TYK2	9606.ENSP00000494750	9606.ENSP00000431885	0	0	0	0	0.086	0.070	0	0.375	0.423
